Player Name,Team,Age,Draft,GS,GP,Min,PPG,FG%,3P%,FT%,OReb,DReb,Ast,Blk,Stl,TO,Salary
Lauri Markannen,Jazz,25,7,66,66,34.4,25.6,0.499,0.391,0.875,2,6.7,1.9,0.6,0.6,1.9,17
Kelly Olynyk,Jazz,32,13,68,68,28.6,12.5,0.499,0.394,0.853,1.2,5,3.7,0.5,0.9,2.5,12.8
Walker Kessler,Jazz,22,22,40,74,23,9.2,0.72,0.333,0.723,3.1,5.3,0.9,2.3,0.4,0.8,2.8
Jordan Clarkson,Jazz,31,46,61,61,32.6,20.8,0.444,0.338,0.816,1.2,2.9,4.4,0.2,0.5,3,14.3
Collin Sexton,Jazz,24,8,15,48,23.9,14.3,0.506,0.393,0.819,0.8,1.4,2.9,0.1,0.6,1.8,17.3
Talen Horton-Tucker,Jazz,22,16,20,65,20.2,10.7,0.419,0.286,0.75,0.6,2.6,3.8,0.4,0.6,1.9,11
Ochai Agbaji,Jazz,23,14,22,59,20.5,7.9,0.427,0.355,0.812,0.7,1.3,1.1,0.3,0.3,0.7,4.1
Rudy Gay,Jazz,36,8,0,56,14.6,5.2,0.38,0.254,0.857,0.6,2.3,10,0.3,0.3,0.7,6.5
Derrick White,Celtics,29,29,70,82,28.3,12.4,0.462,0.381,0.875,0.6,2.9,3.9,0.9,0.7,1.2,18.1
Grant Williams,Celtics,24,22,23,79,25.9,8.1,0.454,0.395,0.77,1.1,3.5,1.7,0.4,0.5,1,4.3
Jayson Tatum,Celtics,25,3,74,74,36.9,30.1,0.466,0.35,0.854,1.1,7.7,4.6,0.7,1.1,2.9,32.6
Jaylen Brown,Celtics,27,3,67,67,35.9,26.6,0.491,0.335,0.765,1.2,5.7,3.5,0.4,1.1,2.9,30.7
Al Horford,Celtics,37,3,63,63,30.5,9.8,0.476,0.446,0.714,1.2,5,3,1,0.5,0.6,10
Marcus Smart,Celtics,29,6,61,61,32.1,11.5,0.415,0.336,0.746,0.8,2.4,6.3,0.4,1.5,2.3,18.6
Blake Griffin,Celtics,34,1,16,41,13.9,4.1,0.485,0.348,0.656,1.1,2.6,1.5,0.2,0.3,0.5,1.8
Robert Williams,Celtics,26,27,20,35,23.5,8,0.747,0,0.61,3,5.4,1.4,1.4,0.6,1,11.8
Anthony Edwards,Twolves,22,1,79,79,36,24.6,0.459,0.369,0.756,0.6,5.2,4.4,0.7,1.6,3.3,13.5
Jaden McDaniels,Twolves,23,28,79,79,30.6,12.1,0.517,0.398,0.736,1.2,2.7,1.9,1,0.9,1.4,3.9
Rudy Gobert,Twolves,31,27,70,70,30.7,13.4,0.659,0,0.644,3.3,8.3,1.2,1.4,0.8,1.7,41
Kyle Anderson,Twolves,30,30,46,69,28.4,9.4,0.509,0.41,0.735,1,4.4,4.9,0.9,1.1,1.5,9.2
Naz Reid,Twolves,24,61,11,68,18.4,11.5,0.537,0.346,0.677,1.1,3.8,11,0.8,0.6,1.4,1.9
Taurean Prince,Twolves,29,12,4,54,22.1,9.1,0.467,0.381,0.844,0.3,2.2,1.6,0.3,0.5,1.3,7.7
Austin Rivers,Twolves,31,10,10,52,19.5,4.9,0.45,0.35,0.769,0.1,1.5,1.4,0.1,0.5,0.4,1.8
Karl-Anthony Towns,Twolves,28,1,29,29,33,20.8,0.495,0.366,0.874,1.7,6.5,4.8,0.6,0.7,3,36
Mike Conley,Twolves,36,4,66,67,30.3,11.9,0.428,0.385,0.834,0.5,2.2,6.7,0.2,1.1,1.5,24.4
Dennis Schroeder,Lakers,30,17,50,66,30.1,12.6,0.415,0.329,0.857,0.3,2.2,4.5,0.2,0.8,1.7,1.8
Anthony Davis,Lakers,30,1,54,56,34,25.9,0.563,0.257,0.784,3.5,9.1,2.6,2,1.1,2.2,40.6
Lonnie Walker IV,Lakers,24,18,32,56,23.2,11.7,0.448,0.365,0.858,0.3,1.7,1.1,0.3,0.5,0.8,6.5
Lebron James,Lakers,38,1,54,55,35.5,28.9,0.5,0.321,0.768,1.2,7.1,6.8,0.6,0.9,3.2,53.4
Rui Hachimura,Lakers,25,9,9,63,23.3,11.2,0.486,0.319,0.739,0.8,3.7,0.9,0.4,0.3,0.8,6.3
Jarred Vanderbilt,Lakers,24,41,65,78,24.1,7.9,0.548,0.322,0.691,2.2,5.3,2.4,0.3,1.1,1.2,4.7
Malik Beasley,Lakers,26,19,27,81,25.8,12.7,0.395,0.357,0.769,0.4,3.1,1.5,0.1,0.8,1.1,16.5
D'Angelo Russell,Lakers,27,2,71,71,32,17.8,0.469,0.396,0.829,0.5,2.5,6.2,0.4,1,2.6,31.4
Bruce Brown,Nuggets,27,42,31,80,28.5,11.5,0.483,0.358,0.758,0.8,3.3,3.4,0.6,1.1,1.5,6.8
Kentavious Caldwell-Pope,Nuggets,30,8,76,76,31.3,10.8,0.462,0.423,0.824,0.5,2.3,2.4,0.5,1.5,1.1,14.7
Christian Braun,Nuggets,22,21,6,76,15.5,4.7,0.495,0.354,0.625,0.6,1.8,0.8,0.2,0.5,0.5,2.9
Nikola Jokic,Nuggets,28,41,69,69,33.7,24.5,0.632,0.383,0.822,2.4,9.4,9.8,0.7,1.3,3.6,46.9
Aaron Gordon,Nuggets,28,4,68,68,30.2,16.3,0.564,0.347,0.608,2.4,4.1,3,0.8,0.8,1.4,21.3
Jamal Murray,Nuggets,26,7,65,65,32.8,20,0.454,0.398,0.833,0.7,3.2,6.2,0.2,1,2.2,33.8
Jeff Green,Nuggets,37,5,4,56,19.5,7.8,0.488,0.288,0.744,0.7,1.9,1.2,0.3,0.3,0.8,4.5
Michael Porter Jr,Nuggets,25,14,62,62,29,17.4,0.487,0.414,0.8,1,4.5,1,0.5,0.6,1.1,33.4
Jaden Ivey,Pistons,21,5,73,74,31,16.3,0.416,0.343,0.747,1,2.9,5.2,0.2,0.8,3.2,7.6
Killian Hayes,Pistons,22,7,56,76,28.3,10.3,0.377,0.28,0.821,0.4,2.5,6.2,0.4,1.4,2.3,7.4
Bojan Bogdanovic,Pistons,34,31,59,59,32.1,21.6,0.488,0.411,0.884,0.6,3.2,2.6,0.1,0.6,2.3,20
Jalen Duren,Pistons,20,13,31,67,24.9,9.1,0.648,0,0.611,3.4,5.5,1.1,0.9,0.7,1.4,4.3
Saddiq Bey,Pistons,24,19,37,77,27.6,13.8,0.422,0.361,0.861,1.3,3.4,1.5,0.2,0.9,0.9,4.5
Isaiah Stewart,Pistons,22,16,47,50,28.3,11.3,0.442,0.327,0.738,2.3,5.8,1.4,0.7,0.4,1.4,5.2
Cory Joseph,Pistons,32,29,2,62,19.8,6.9,0.427,0.389,0.792,0.3,1.4,3.5,0.1,0.5,0.9,5.1
Alec Burks,Pistons,32,12,8,51,22,12.8,0.436,0.414,0.814,0.4,2.7,2.2,0.2,0.7,1.1,10.4
Julius Randle,Knicks,28,7,77,77,35.5,25.1,0.459,0.343,0.757,1.8,8.1,4.1,0.3,0.6,2.8,25.6
RJ Barrett,Knicks,23,3,73,73,33.9,19.6,0.434,0.31,0.74,0.8,4.2,2.8,0.2,0.4,2.2,23.9
Jalen Brunson,Knicks,27,33,68,68,35,24,0.491,0.416,0.829,0.6,3,6.2,0.2,0.9,2.1,26.3
Immanuel Quickley,Knicks,24,25,21,81,28.9,14.9,0.448,0.37,0.819,0.7,3.4,3.4,0.2,1,1.2,4.2
Quentin Grimes,Knicks,23,25,66,71,29.9,11.3,0.468,0.386,0.796,0.7,2.5,2.1,0.4,0.7,1,2.4
Isaiah Hartenstein,Knicks,25,43,8,82,19.8,5,0.535,0.216,0.676,2.5,4,1.2,0.8,0.6,0.8,8.2
Mitchell Robinson,Knicks,25,36,58,59,27,7.4,0.671,0,0.484,4.5,4.9,0.9,1.8,0.9,0.7,15.7
Josh Hart,Knicks,28,30,52,76,32.3,9.8,0.529,0.372,0.75,1.9,5.9,3.8,0.3,1.2,1.5,13
Brook Lopez,Bucks,35,10,78,78,30.4,15.9,0.531,0.374,0.784,2,4.7,1.3,2.5,0.5,1.4,13.9
Jrue Holiday,Bucks,32,17,65,67,32.6,19.3,0.479,0.384,0.859,1.2,3.9,7.4,0.4,1.2,2.9,36.2
Giannis Antetokounmpo,Bucks,28,15,63,63,32.1,31.1,0.553,0.275,0.645,2.2,9.6,5.7,0.8,0.8,3.9,45.6
Grayson Allen,Bucks,27,21,70,72,27.4,10.4,0.44,0.399,0.905,0.8,2.4,2.3,0.2,0.9,1,8.5
Bobby Portis,Bucks,28,22,22,70,26,14.1,0.496,0.37,0.768,22,7.4,1.5,0.2,0.4,1.2,11.7
Jevon Carter,Bucks,27,32,39,81,22.3,8,0.423,0.421,0.816,0.4,2.1,2.4,0.4,0.8,1,2.2
Pat Connaughton,Bucks,30,11,33,61,23.7,7.6,0.392,0.339,0.659,0.8,3.8,1.3,0.2,0.6,0.5,9.4
Khris Middleton,Bucks,31,39,19,33,24.3,15.1,0.436,0.315,0.902,0.8,3.4,4.9,0.2,0.7,2.2,40.4